datetime,TEMPERATURE,WINDSPEED,HUMIDITY
2010-03-07,10,14,76
2010-03-08,10,27,78
2010-03-09,8,35,92
2010-03-10,7,23,88
2010-03-11,7,20,90
2010-03-12,9,13,85
2010-03-13,10,9,83
2010-03-14,13,13,84
2010-03-15,14,16,89
2010-03-16,14,16,82
2010-03-17,13,14,84
2010-03-18,16,12,76
2010-03-19,17,12,84
2010-03-20,18,16,84
2010-03-21,15,12,84
2010-03-22,19,13,93
2010-03-23,16,9,92
2010-03-24,18,12,91
2010-03-25,18,19,88
2010-03-26,17,24,96
2010-03-27,16,30,77
2010-03-28,16,23,82
2010-03-29,19,10,77
2010-03-30,17,32,95
2010-03-31,14,28,70
2010-04-01,14,24,87
2010-04-02,14,21,72
2010-04-03,16,15,88
2010-04-04,17,19,84
2010-04-05,14,26,78
2010-04-06,18,12,77
2010-04-07,19,17,67
2010-04-08,12,18,89
2010-04-09,16,14,84
2010-04-10,20,12,68
2010-04-11,18,21,91
2010-04-12,15,18,84
2010-04-13,14,8,79
2010-04-14,16,12,82
2010-04-15,17,11,77
2010-04-16,17,13,77
2010-04-17,18,13,81
2010-04-18,17,10,87
2010-04-19,17,18,77
2010-04-20,18,17,91
2010-04-21,20,13,85
2010-04-22,22,18,71
2010-04-23,17,12,96
2010-04-24,17,18,94
2010-04-25,19,14,88
2010-04-26,22,12,75
2010-04-27,21,10,84
2010-04-28,22,6,90
2010-04-29,23,10,69
2010-04-30,22,10,76
2010-05-01,21,10,81
2010-05-02,19,16,96
2010-05-03,21,12,85
2010-05-04,18,34,94
2010-05-05,16,16,90
2010-05-06,14,20,90
2010-05-07,15,17,87
2010-05-08,17,16,84
2010-05-09,21,13,80
2010-05-10,22,18,82
2010-05-11,21,24,89
2010-05-12,19,18,88
2010-05-13,18,19,90
2010-05-14,18,14,90
2010-05-15,16,33,90
2010-05-16,16,25,85
2010-05-17,18,15,78
2010-05-18,22,14,76
2010-05-19,21,19,88
2010-05-20,20,15,75
2010-05-21,23,14,63
2010-05-22,24,11,70
2010-05-23,25,8,75
2010-05-24,24,9,73
2010-05-25,24,10,75
2010-05-26,26,10,55
2010-05-27,24,15,88
2010-05-28,20,9,88
2010-05-29,22,14,88
2010-05-30,24,21,90
2010-05-31,24,34,86
2010-06-01,23,14,83
2010-06-02,23,15,82
2010-06-03,24,14,87
2010-06-04,24,12,88
2010-06-05,26,9,86
2010-06-06,27,10,86
2010-06-07,26,18,85
2010-06-08,27,6,89
2010-06-09,28,22,67
2010-06-10,25,21,75
2010-06-11,28,9,87
2010-06-12,25,13,92
2010-06-13,25,12,91
2010-06-14,26,10,91
2010-06-15,22,17,96
2010-06-16,22,19,93
2010-06-17,24,15,92
2010-06-18,23,20,83
2010-06-19,21,31,91
2010-06-20,19,26,80
2010-06-21,20,23,84
2010-06-22,20,8,82
2010-06-23,23,17,83
2010-06-24,24,12,86
2010-06-25,26,12,89
2010-06-26,25,12,89
2010-06-27,28,8,90
2010-06-28,28,12,86
2010-06-29,29,10,90
2010-06-30,28,11,94
2010-07-01,29,9,89
2010-07-02,30,10,86
2010-07-03,30,13,85
2010-07-04,30,16,83
2010-07-05,30,15,95
2010-07-06,30,9,93
2010-07-07,30,11,90
2010-07-08,31,8,89
2010-07-09,31,8,89
2010-07-10,31,12,87
2010-07-11,31,9,70
2010-07-12,32,12,74
2010-07-13,33,7,71
2010-07-14,32,7,73
2010-07-15,31,12,80
2010-07-16,32,13,78
2010-07-17,31,15,71
2010-07-18,31,20,61
2010-07-19,32,11,75
2010-07-20,31,14,74
2010-07-21,31,6,81
2010-07-22,32,9,75
2010-07-23,31,21,78
2010-07-24,29,24,63
2010-07-25,29,13,64
2010-07-26,27,11,67
2010-07-27,28,16,72
2010-07-28,29,12,78
2010-07-29,29,18,85
2010-07-30,26,14,76
2010-07-31,26,11,75
2010-08-01,28,7,76
2010-08-02,29,8,74
2010-08-03,28,19,84
2010-08-04,27,13,86
2010-08-05,26,28,87
2010-08-06,25,14,77
2010-08-07,26,12,78
2010-08-08,28,13,80
2010-08-09,28,14,84
2010-08-10,28,12,86
2010-08-11,28,13,84
2010-08-12,28,13,81
2010-08-13,27,11,85
2010-08-14,24,16,88
2010-08-15,25,15,77
2010-08-16,25,22,73
2010-08-17,26,15,77
2010-08-18,27,15,90
2010-08-19,28,10,79
2010-08-20,30,15,82
2010-08-21,31,10,83
2010-08-22,32,10,83
2010-08-23,30,12,85
2010-08-24,28,14,86
2010-08-25,29,13,85
2010-08-26,30,11,92
2010-08-27,31,17,84
2010-08-28,28,26,86
2010-08-29,27,12,89
2010-08-30,26,26,72
2010-08-31,26,10,66
2010-09-01,26,11,67
2010-09-02,27,13,75
2010-09-03,26,5,84
2010-09-04,28,12,75
2010-09-05,27,15,85
2010-09-06,27,10,89
2010-09-07,28,12,87
2010-09-08,25,20,91
2010-09-09,23,19,78
2010-09-10,24,14,82
2010-09-11,27,12,82
2010-09-12,26,12,74
2010-09-13,25,12,92
2010-09-14,25,15,84
2010-09-15,26,13,77
2010-09-16,26,19,89
2010-09-17,25,13,90
2010-09-18,26,14,83
2010-09-19,21,17,82
2010-09-20,25,6,84
2010-09-21,22,7,81
2010-09-22,23,11,82
2010-09-23,26,7,80
2010-09-24,24,9,82
2010-09-25,20,27,81
2010-09-26,18,22,84
2010-09-27,18,24,78
2010-09-28,20,19,78
2010-09-29,21,12,76
2010-09-30,22,13,85
2010-10-01,22,16,88
2010-10-02,22,8,87
2010-10-03,22,13,88
2010-10-04,25,17,93
2010-10-05,21,14,85
2010-10-06,22,7,86
2010-10-07,25,11,85
2010-10-08,24,13,80
2010-10-09,21,14,89
2010-10-10,21,22,91
2010-10-11,19,23,87
2010-10-12,21,22,89
2010-10-13,20,8,89
2010-10-14,20,10,88
2010-10-15,19,13,84
2010-10-16,17,15,88
2010-10-17,16,13,85
2010-10-18,16,11,83
2010-10-19,20,15,82
2010-10-20,17,40,78
2010-10-21,17,9,77
2010-10-22,19,9,82
2010-10-23,19,9,85
2010-10-24,19,17,86
2010-10-25,16,31,86
2010-10-26,16,23,85
2010-10-27,18,13,77
2010-10-28,19,9,82
