datetime,TEMPERATURE,WINDSPEED,HUMIDITY
2010-01-14,11.0,23.0,90.0
2010-01-15,11.0,15.0,92.0
2010-01-16,11.0,12.0,86.0
2010-01-17,12.0,14.0,95.0
2010-01-18,11.0,10.0,90.0
2010-01-19,13.0,11.0,90.0
2010-01-20,13.0,14.0,93.0
2010-01-21,10.0,27.0,89.0
2010-01-22,11.0,7.0,85.0
2010-01-23,10.0,12.0,84.0
2010-01-24,12.0,9.0,86.0
2010-01-25,10.0,14.0,93.0
2010-01-26,11.0,18.0,90.0
2010-01-27,11.0,28.0,89.0
2010-01-28,14.0,24.0,83.0
2010-01-29,11.0,22.0,87.0
2010-01-30,11.0,33.0,89.0
2010-01-31,8.0,31.0,62.0
2010-02-01,8.0,14.0,57.0
2010-02-02,7.0,22.0,74.0
2010-02-03,11.0,22.0,88.0
2010-02-04,15.0,14.0,88.0
2010-02-05,14.0,27.0,97.0
2010-02-06,12.0,35.0,81.0
2010-02-07,12.0,15.0,87.0
2010-02-08,13.0,9.0,86.0
2010-02-09,11.0,26.0,90.0
2010-02-10,9.0,34.0,91.0
2010-02-11,8.0,28.0,85.0
2010-02-12,5.0,30.0,89.0
2010-02-13,8.0,14.0,88.0
2010-02-14,9.0,13.0,78.0
2010-02-15,9.0,13.0,85.0
2010-02-16,14.0,17.0,92.0
2010-02-17,13.0,24.0,94.0
2010-02-18,13.0,23.0,93.0
2010-02-19,17.0,47.0,95.0
2010-02-20,10.0,45.0,74.0
2010-02-21,12.0,21.0,81.0
2010-02-22,13.0,17.0,95.0
2010-02-23,15.0,27.0,93.0
2010-02-24,14.0,19.0,92.0
2010-02-25,16.0,20.0,85.0
2010-02-26,15.0,31.0,92.0
2010-02-27,14.0,11.0,77.0
2010-02-28,16.0,26.0,86.0
2010-03-01,14.0,16.0,94.0
2010-03-02,15.0,18.0,83.0
2010-03-03,19.0,30.0,83.0
2010-03-04,12.0,35.0,92.0
2010-03-05,11.0,18.0,87.0
2010-03-06,11.0,12.0,72.0
2010-03-07,10.0,14.0,76.0
2010-03-08,10.0,27.0,78.0
2010-03-09,8.0,35.0,92.0
2010-03-10,7.0,23.0,88.0
2010-03-11,7.0,20.0,90.0
2010-03-12,9.0,13.0,85.0
2010-03-13,10.0,9.0,83.0
2010-03-14,13.0,13.0,84.0
2010-03-15,14.0,16.0,89.0
2010-03-16,14.0,16.0,82.0
2010-03-17,13.0,14.0,84.0
2010-03-18,16.0,12.0,76.0
2010-03-19,17.0,12.0,84.0
2010-03-20,18.0,16.0,84.0
2010-03-21,15.0,12.0,84.0
2010-03-22,19.0,13.0,93.0
2010-03-23,16.0,9.0,92.0
2010-03-24,18.0,12.0,91.0
2010-03-25,18.0,19.0,88.0
2010-03-26,17.0,24.0,96.0
2010-03-27,16.0,30.0,77.0
2010-03-28,16.0,23.0,82.0
2010-03-29,19.0,10.0,77.0
2010-03-30,17.0,32.0,95.0
2010-03-31,14.0,28.0,70.0
2010-04-01,14.0,24.0,87.0
2010-04-02,14.0,21.0,72.0
2010-04-03,16.0,15.0,88.0
2010-04-04,17.0,19.0,84.0
2010-04-05,14.0,26.0,78.0
2010-04-06,18.0,12.0,77.0
2010-04-07,19.0,17.0,67.0
2010-04-08,12.0,18.0,89.0
2010-04-09,16.0,14.0,84.0
2010-04-10,20.0,12.0,68.0
2010-04-11,18.0,21.0,91.0
2010-04-12,15.0,18.0,84.0
2010-04-13,14.0,8.0,79.0
2010-04-14,16.0,12.0,82.0
2010-04-15,17.0,11.0,77.0
2010-04-16,17.0,13.0,77.0
2010-04-17,18.0,13.0,81.0
2010-04-18,17.0,10.0,87.0
2010-04-19,17.0,18.0,77.0
2010-04-20,18.0,17.0,91.0
2010-04-21,20.0,13.0,85.0
2010-04-22,22.0,18.0,71.0
2010-04-23,17.0,12.0,96.0
2010-04-24,17.0,18.0,94.0
2010-04-25,19.0,14.0,88.0
2010-04-26,22.0,12.0,75.0
2010-04-27,21.0,10.0,84.0
2010-04-28,22.0,6.0,90.0
2010-04-29,23.0,10.0,69.0
2010-04-30,22.0,10.0,76.0
2010-05-01,21.0,10.0,81.0
2010-05-02,19.0,16.0,96.0
2010-05-03,21.0,12.0,85.0
2010-05-04,18.0,34.0,94.0
2010-05-05,16.0,16.0,90.0
2010-05-06,14.0,20.0,90.0
2010-05-07,15.0,17.0,87.0
2010-05-08,17.0,16.0,84.0
2010-05-09,21.0,13.0,80.0
2010-05-10,22.0,18.0,82.0
2010-05-11,21.0,24.0,89.0
2010-05-12,19.0,18.0,88.0
2010-05-13,18.0,19.0,90.0
2010-05-14,18.0,14.0,90.0
2010-05-15,16.0,33.0,90.0
2010-05-16,16.0,25.0,85.0
2010-05-17,18.0,15.0,78.0
2010-05-18,22.0,14.0,76.0
2010-05-19,21.0,19.0,88.0
2010-05-20,20.0,15.0,75.0
2010-05-21,23.0,14.0,63.0
2010-05-22,24.0,11.0,70.0
2010-05-23,25.0,8.0,75.0
2010-05-24,24.0,9.0,73.0
2010-05-25,24.0,10.0,75.0
2010-05-26,26.0,10.0,55.0
2010-05-27,24.0,15.0,88.0
2010-05-28,20.0,9.0,88.0
2010-05-29,22.0,14.0,88.0
2010-05-30,24.0,21.0,90.0
2010-05-31,24.0,34.0,86.0
2010-06-01,23.0,14.0,83.0
2010-06-02,23.0,15.0,82.0
2010-06-03,24.0,14.0,87.0
2010-06-04,24.0,12.0,88.0
2010-06-05,26.0,9.0,86.0
2010-06-06,27.0,10.0,86.0
2010-06-07,26.0,18.0,85.0
2010-06-08,27.0,6.0,89.0
2010-06-09,28.0,22.0,67.0
2010-06-10,25.0,21.0,75.0
2010-06-11,28.0,9.0,87.0
2010-06-12,25.0,13.0,92.0
2010-06-13,25.0,12.0,91.0
2010-06-14,26.0,10.0,91.0
2010-06-15,22.0,17.0,96.0
2010-06-16,22.0,19.0,93.0
2010-06-17,24.0,15.0,92.0
2010-06-18,23.0,20.0,83.0
2010-06-19,21.0,31.0,91.0
2010-06-20,19.0,26.0,80.0
2010-06-21,20.0,23.0,84.0
2010-06-22,20.0,8.0,82.0
2010-06-23,23.0,17.0,83.0
2010-06-24,24.0,12.0,86.0
2010-06-25,26.0,12.0,89.0
2010-06-26,25.0,12.0,89.0
2010-06-27,28.0,8.0,90.0
2010-06-28,28.0,12.0,86.0
2010-06-29,29.0,10.0,90.0
2010-06-30,28.0,11.0,94.0
2010-07-01,29.0,9.0,89.0
2010-07-02,30.0,10.0,86.0
2010-07-03,30.0,13.0,85.0
2010-07-04,30.0,16.0,83.0
2010-07-05,30.0,15.0,95.0
2010-07-06,30.0,9.0,93.0
2010-07-07,30.0,11.0,90.0
2010-07-08,31.0,8.0,89.0
2010-07-09,31.0,8.0,89.0
2010-07-10,31.0,12.0,87.0
2010-07-11,31.0,9.0,70.0
2010-07-12,32.0,12.0,74.0
2010-07-13,33.0,7.0,71.0
2010-07-14,32.0,7.0,73.0
2010-07-15,31.0,12.0,80.0
2010-07-16,32.0,13.0,78.0
2010-07-17,31.0,15.0,71.0
2010-07-18,31.0,20.0,61.0
2010-07-19,32.0,11.0,75.0
2010-07-20,31.0,14.0,74.0
2010-07-21,31.0,6.0,81.0
2010-07-22,32.0,9.0,75.0
2010-07-23,31.0,21.0,78.0
2010-07-24,29.0,24.0,63.0
2010-07-25,29.0,13.0,64.0
2010-07-26,27.0,11.0,67.0
2010-07-27,28.0,16.0,72.0
2010-07-28,29.0,12.0,78.0
2010-07-29,29.0,18.0,85.0
2010-07-30,26.0,14.0,76.0
2010-07-31,26.0,11.0,75.0
2010-08-01,28.0,7.0,76.0
2010-08-02,29.0,8.0,74.0
2010-08-03,28.0,19.0,84.0
2010-08-04,27.0,13.0,86.0
2010-08-05,26.0,28.0,87.0
2010-08-06,25.0,14.0,77.0
2010-08-07,26.0,12.0,78.0
2010-08-08,28.0,13.0,80.0
2010-08-09,28.0,14.0,84.0
2010-08-10,28.0,12.0,86.0
2010-08-11,28.0,13.0,84.0
2010-08-12,28.0,13.0,81.0
2010-08-13,27.0,11.0,85.0
